product_id,product_name,category,subcategory,unit_price,cost
1,Laptop Pro 15,Electronics,Computers,1200.00,800.00
2,Smartphone X,Electronics,Mobile,800.00,500.00
3,Tablet Air,Electronics,Tablets,650.00,400.00
4,Wireless Headphones,Electronics,Audio,150.00,80.00
5,Smart Watch,Electronics,Wearables,300.00,180.00
6,Winter Jacket,Clothing,Outerwear,200.00,90.00
7,Running Shoes,Clothing,Footwear,180.00,85.00
8,Cotton T-Shirt,Clothing,Tops,35.00,12.00
9,Denim Jeans,Clothing,Bottoms,75.00,30.00
10,Organic Coffee,Food,Beverages,25.00,10.00
11,Protein Bars,Food,Snacks,40.00,18.00
12,Olive Oil,Food,Cooking,18.00,8.00
13,Standing Desk,Home,Furniture,450.00,250.00
14,Ergonomic Chair,Home,Furniture,350.00,180.00
15,LED Desk Lamp,Home,Lighting,60.00,25.00
